PLAYER_NAME,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,PAINT_FGM,PAINT_FGA,MID_FGM,MID_FGA,LC3_FGM,LC3_FGA,RC3_FGM,RC3_FGA,ATB3_FGM,ATB3_FGA,FGM,FGA
Santi Aldama,MEM,23,92,146,41,91,8,27,18,46,10,49,78,209,247,568
Sasha Vezenkov,SAC,28,31,42,7,25,1,4,9,20,7,18,29,81,84,190
Scoot Henderson,POR,20,107,226,64,169,49,134,7,20,4,14,76,230,307,793
Scottie Barnes,TOR,22,210,301,94,236,41,108,6,25,10,23,86,248,447,941
Scotty Pippen Jr.,MEM,23,49,76,16,44,5,11,1,3,3,5,26,64,100,203
Seth Curry,CHA,33,12,15,9,21,21,60,13,21,5,19,20,67,80,203
Shaedon Sharpe,POR,21,71,131,20,64,25,59,8,20,3,13,49,144,176,431
Shai Gilgeous-Alexander,OKC,25,312,451,223,431,166,336,8,13,1,4,86,252,796,1487
Shake Milton,NYK,27,31,54,22,54,8,23,5,11,6,16,7,36,79,194
Simone Fontecchio,DET,28,79,120,30,74,9,20,29,73,36,77,69,184,252,548
Skylar Mays,LAL,26,17,39,21,47,9,19,2,4,0,4,14,46,63,159
Spencer Dinwiddie,LAL,31,70,117,47,120,10,35,20,38,28,56,76,272,251,638
Stanley Umude,DET,25,7,13,4,12,2,6,4,13,10,16,10,24,37,84
Stephen Curry,GSW,36,108,169,109,217,76,183,22,42,20,36,315,796,650,1443
Svi Mykhailiuk,BOS,27,12,18,2,6,1,5,14,23,2,7,26,77,57,136
T.J. McConnell,IND,32,134,192,119,232,59,125,2,4,4,5,12,34,330,592
Talen Horton-Tucker,UTA,23,75,133,42,110,7,40,9,22,4,16,47,142,184,463
Tari Eason,HOU,23,52,96,11,28,7,15,2,4,3,12,13,34,88,189
Taurean Prince,LAL,30,62,99,37,87,13,30,32,83,26,76,83,194,253,569
Taylor Hendricks,UTA,20,38,54,14,33,3,13,15,33,18,43,20,64,108,240
Terance Mann,LAC,27,134,177,42,88,7,24,26,65,17,45,28,93,254,492
Terry Rozier,MIA,30,117,218,104,214,72,156,30,78,16,52,103,278,442,996
